,Combination,Accuracy
0,"('transporter', 'enzyme')",0.871356783919598
1,"('transporter', 'offside')",0.8733668341708543
2,"('transporter', 'carrier')",0.8723618090452261
3,"('transporter', 'target')",0.8753768844221106
4,"('transporter', 'sideeffect')",0.8723618090452261
5,"('transporter', 'chem')",0.8834170854271357
6,"('enzyme', 'offside')",0.8663316582914573
7,"('enzyme', 'carrier')",0.8814070351758794
8,"('enzyme', 'target')",0.8829145728643216
9,"('enzyme', 'sideeffect')",0.8678391959798994
10,"('enzyme', 'chem')",0.8824120603015075
11,"('offside', 'carrier')",0.8763819095477386
12,"('offside', 'target')",0.8738693467336683
13,"('offside', 'sideeffect')",0.8788944723618091
14,"('offside', 'chem')",0.8668341708542714
15,"('carrier', 'target')",0.8683417085427135
16,"('carrier', 'sideeffect')",0.8673366834170855
17,"('carrier', 'chem')",0.8743718592964824
18,"('target', 'sideeffect')",0.8758793969849247
19,"('target', 'chem')",0.8703517587939699
